"","body_mass_g","culmen_length_mm","species"
"1",3750,39.1,"Adelie Penguin (Pygoscelis adeliae)"
"2",3800,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"3",3250,40.3,"Adelie Penguin (Pygoscelis adeliae)"
"4",3450,36.7,"Adelie Penguin (Pygoscelis adeliae)"
"5",3650,39.3,"Adelie Penguin (Pygoscelis adeliae)"
"6",3625,38.9,"Adelie Penguin (Pygoscelis adeliae)"
"7",4675,39.2,"Adelie Penguin (Pygoscelis adeliae)"
"8",3475,34.1,"Adelie Penguin (Pygoscelis adeliae)"
"9",4250,42,"Adelie Penguin (Pygoscelis adeliae)"
"10",3300,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"11",3700,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"12",3200,41.1,"Adelie Penguin (Pygoscelis adeliae)"
"13",3800,38.6,"Adelie Penguin (Pygoscelis adeliae)"
"14",4400,34.6,"Adelie Penguin (Pygoscelis adeliae)"
"15",3700,36.6,"Adelie Penguin (Pygoscelis adeliae)"
"16",3450,38.7,"Adelie Penguin (Pygoscelis adeliae)"
"17",4500,42.5,"Adelie Penguin (Pygoscelis adeliae)"
"18",3325,34.4,"Adelie Penguin (Pygoscelis adeliae)"
"19",4200,46,"Adelie Penguin (Pygoscelis adeliae)"
"20",3400,37.8,"Adelie Penguin (Pygoscelis adeliae)"
"21",3600,37.7,"Adelie Penguin (Pygoscelis adeliae)"
"22",3800,35.9,"Adelie Penguin (Pygoscelis adeliae)"
"23",3950,38.2,"Adelie Penguin (Pygoscelis adeliae)"
"24",3800,38.8,"Adelie Penguin (Pygoscelis adeliae)"
"25",3800,35.3,"Adelie Penguin (Pygoscelis adeliae)"
"26",3550,40.6,"Adelie Penguin (Pygoscelis adeliae)"
"27",3200,40.5,"Adelie Penguin (Pygoscelis adeliae)"
"28",3150,37.9,"Adelie Penguin (Pygoscelis adeliae)"
"29",3950,40.5,"Adelie Penguin (Pygoscelis adeliae)"
"30",3250,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"31",3900,37.2,"Adelie Penguin (Pygoscelis adeliae)"
"32",3300,39.5,"Adelie Penguin (Pygoscelis adeliae)"
"33",3900,40.9,"Adelie Penguin (Pygoscelis adeliae)"
"34",3325,36.4,"Adelie Penguin (Pygoscelis adeliae)"
"35",4150,39.2,"Adelie Penguin (Pygoscelis adeliae)"
"36",3950,38.8,"Adelie Penguin (Pygoscelis adeliae)"
"37",3550,42.2,"Adelie Penguin (Pygoscelis adeliae)"
